url,status,canonical,canonical_status,canonical_final_url,self_canonical,redirect_hops,consistent_with_sitemap,consistent_with_internal_links,intentional,severity,finding
https://www.expatcopilot.com/netherlands/bringing-pets-to-netherlands/,308,https://www.expatcopilot.com/netherlands/bringing-pets-to-netherlands/,308,https://www.expatcopilot.com/netherlands/bringing-pets-to-netherlands,no,1,yes,yes,no,P1,SITEMAP_URL_REDIRECTS (sitemap loc returns 3xx before content)
https://www.expatcopilot.com/netherlands/apostille-documents-netherlands/,308,https://www.expatcopilot.com/netherlands/apostille-documents-netherlands/,308,https://www.expatcopilot.com/netherlands/apostille-documents-netherlands,no,1,yes,yes,no,P1,SITEMAP_URL_REDIRECTS (sitemap loc returns 3xx before content)
https://www.expatcopilot.com/netherlands/arnhem/,308,https://www.expatcopilot.com/netherlands/arnhem/,308,https://www.expatcopilot.com/netherlands/arnhem,no,1,yes,yes,no,P1,SITEMAP_URL_REDIRECTS (sitemap loc returns 3xx before content)
https://www.expatcopilot.com/netherlands/after-arriving-netherlands/,308,https://www.expatcopilot.com/netherlands/after-arriving-netherlands/,308,https://www.expatcopilot.com/netherlands/after-arriving-netherlands,no,1,yes,yes,no,P1,SITEMAP_URL_REDIRECTS (sitemap loc returns 3xx before content)
https://www.expatcopilot.com/netherlands/breda/,308,https://www.expatcopilot.com/netherlands/breda/,308,https://www.expatcopilot.com/netherlands/breda,no,1,yes,yes,no,P1,SITEMAP_URL_REDIRECTS (sitemap loc returns 3xx before content)
https://www.expatcopilot.com/netherlands/bsn-registration,200,https://www.expatcopilot.com/netherlands/bsn-registration/,308,https://www.expatcopilot.com/netherlands/bsn-registration,no,0,yes,yes,no,P2,CANONICAL_POINTS_TO_TRAILING_SLASH_URL_THAT_308S_TO_NON_SLASH; 200 response URL is non-slash while canonical/sitemap use trailing slash
https://www.expatcopilot.com/netherlands/bsn-registration/,308,https://www.expatcopilot.com/netherlands/bsn-registration/,308,https://www.expatcopilot.com/netherlands/bsn-registration,no,1,yes,yes,no,P1,SITEMAP_URL_REDIRECTS (sitemap loc returns 3xx before content)
https://www.expatcopilot.com/netherlands/arnhem,200,https://www.expatcopilot.com/netherlands/arnhem/,308,https://www.expatcopilot.com/netherlands/arnhem,no,0,yes,yes,no,P2,CANONICAL_POINTS_TO_TRAILING_SLASH_URL_THAT_308S_TO_NON_SLASH; 200 response URL is non-slash while canonical/sitemap use trailing slash
https://www.expatcopilot.com/netherlands/business/zzp-netherlands,200,https://www.expatcopilot.com/netherlands/business/zzp-netherlands/,308,https://www.expatcopilot.com/netherlands/business/zzp-netherlands,no,0,yes,yes,no,P2,CANONICAL_POINTS_TO_TRAILING_SLASH_URL_THAT_308S_TO_NON_SLASH; 200 response URL is non-slash while canonical/sitemap use trailing slash
https://www.expatcopilot.com/netherlands/cities/amsterdam-vs-rotterdam,200,https://www.expatcopilot.com/netherlands/cities/amsterdam-vs-rotterdam/,308,https://www.expatcopilot.com/netherlands/cities/amsterdam-vs-rotterdam,no,0,yes,yes,no,P2,CANONICAL_POINTS_TO_TRAILING_SLASH_URL_THAT_308S_TO_NON_SLASH; 200 response URL is non-slash while canonical/sitemap use trailing slash
https://www.expatcopilot.com/netherlands/business/zzp-netherlands/,308,https://www.expatcopilot.com/netherlands/business/zzp-netherlands/,308,https://www.expatcopilot.com/netherlands/business/zzp-netherlands,no,1,yes,yes,no,P1,SITEMAP_URL_REDIRECTS (sitemap loc returns 3xx before content)
https://www.expatcopilot.com/netherlands/cities/amsterdam-vs-rotterdam/,308,https://www.expatcopilot.com/netherlands/cities/amsterdam-vs-rotterdam/,308,https://www.expatcopilot.com/netherlands/cities/amsterdam-vs-rotterdam,no,1,yes,yes,no,P1,SITEMAP_URL_REDIRECTS (sitemap loc returns 3xx before content)
