url,page_type,cluster,parent_hub,href_inlinks,unique_inlink_pages,contextual_inlinks,navigation_inlinks,outlinks,crawl_depth_home,crawl_depth_hub,orphan,near_orphan,links_to_redirects,links_to_404,intent,severity,notes
https://www.expatcopilot.com/netherlands/culture/health-system-culture-basics/,guide,culture_life,https://www.expatcopilot.com/netherlands/living/survival-guide/,6,6,6,0,52,3,3,no,no,1,3,INDEXABLE,INFO,outlinks_to_redirects=1; outlinks_to_404=3; descriptive_anchor_ratio=1.00 n=8; hub_relationship=links_to_parent_hub; strongest_contextual_source=/netherlands/culture/practice-scenarios/
https://www.expatcopilot.com/netherlands/culture/hierarchy-and-flatness/,guide,culture_life,https://www.expatcopilot.com/netherlands/living/survival-guide/,1,1,1,0,51,5,5,no,yes,1,3,INDEXABLE,P2,near-orphan: ≤1 contextual inlink; >3 clicks from cluster hub (depth_hub=5); deep from NL hub (depth_home=5); outlinks_to_redirects=1; outlinks_to_404=3; descriptive_anchor_ratio=1.00 n=1; hub_relationship=links_to_parent_hub; strongest_contextual_source=/netherlands/culture/meetings-and-consensus/
https://www.expatcopilot.com/netherlands/culture/invitations-and-planning/,guide,culture_life,https://www.expatcopilot.com/netherlands/living/survival-guide/,2,2,2,0,51,4,4,no,no,1,3,INDEXABLE,P2,>3 clicks from cluster hub (depth_hub=4); outlinks_to_redirects=1; outlinks_to_404=3; descriptive_anchor_ratio=1.00 n=2; hub_relationship=links_to_parent_hub; strongest_contextual_source=/netherlands/culture/time-and-boundaries/
https://www.expatcopilot.com/netherlands/culture/kings-day/,guide,culture_life,https://www.expatcopilot.com/netherlands/living/survival-guide/,2,2,2,0,51,4,4,no,no,1,3,INDEXABLE,P2,>3 clicks from cluster hub (depth_hub=4); outlinks_to_redirects=1; outlinks_to_404=3; descriptive_anchor_ratio=1.00 n=2; hub_relationship=links_to_parent_hub; strongest_contextual_source=/netherlands/culture/dutch-traditions/
https://www.expatcopilot.com/netherlands/culture/learning-dutch/,guide,culture_life,https://www.expatcopilot.com/netherlands/living/survival-guide/,8,8,8,0,51,2,2,no,no,1,3,INDEXABLE,INFO,outlinks_to_redirects=1; outlinks_to_404=3; descriptive_anchor_ratio=1.00 n=12; hub_relationship=links_to_parent_hub; strongest_contextual_source=/netherlands/culture/dutch-language-basics/
https://www.expatcopilot.com/netherlands/culture/meetings-and-consensus/,guide,culture_life,https://www.expatcopilot.com/netherlands/living/survival-guide/,3,3,3,0,51,4,4,no,no,1,3,INDEXABLE,P2,>3 clicks from cluster hub (depth_hub=4); outlinks_to_redirects=1; outlinks_to_404=3; descriptive_anchor_ratio=1.00 n=3; hub_relationship=links_to_parent_hub; strongest_contextual_source=/netherlands/culture/written-follow-ups/
https://www.expatcopilot.com/netherlands/culture/national-holidays/,guide,culture_life,https://www.expatcopilot.com/netherlands/living/survival-guide/,3,3,3,0,51,4,4,no,no,1,3,INDEXABLE,P2,>3 clicks from cluster hub (depth_hub=4); outlinks_to_redirects=1; outlinks_to_404=3; descriptive_anchor_ratio=1.00 n=4; hub_relationship=links_to_parent_hub; strongest_contextual_source=/netherlands/culture/dutch-social-calendar/
https://www.expatcopilot.com/netherlands/culture/practice-scenarios/,guide,culture_life,https://www.expatcopilot.com/netherlands/living/survival-guide/,3,3,3,0,51,2,2,no,no,1,3,INDEXABLE,INFO,outlinks_to_redirects=1; outlinks_to_404=3; descriptive_anchor_ratio=1.00 n=4; hub_relationship=links_to_parent_hub; strongest_contextual_source=/netherlands/culture/learning-dutch/
https://www.expatcopilot.com/netherlands/culture/sinterklaas/,guide,culture_life,https://www.expatcopilot.com/netherlands/living/survival-guide/,0,0,0,0,51,,,yes,no,1,3,INDEXABLE,P1,orphan: no internal inlinks in crawl graph; outlinks_to_redirects=1; outlinks_to_404=3; no_anchor_samples; hub_relationship=links_to_parent_hub
https://www.expatcopilot.com/netherlands/culture/time-and-boundaries/,guide,culture_life,https://www.expatcopilot.com/netherlands/living/survival-guide/,1,1,1,0,51,5,5,no,yes,1,3,INDEXABLE,P2,near-orphan: ≤1 contextual inlink; >3 clicks from cluster hub (depth_hub=5); deep from NL hub (depth_home=5); outlinks_to_redirects=1; outlinks_to_404=3; descriptive_anchor_ratio=1.00 n=1; hub_relationship=links_to_parent_hub; strongest_contextual_source=/netherlands/culture/invitations-and-planning/
https://www.expatcopilot.com/netherlands/culture/what-feels-normal-in-dutch-daily-life/,guide,culture_life,https://www.expatcopilot.com/netherlands/living/survival-guide/,0,0,0,0,50,,,yes,no,1,3,INDEXABLE,P1,orphan: no internal inlinks in crawl graph; outlinks_to_redirects=1; outlinks_to_404=3; no_anchor_samples; hub_relationship=links_to_parent_hub
https://www.expatcopilot.com/netherlands/culture/written-follow-ups/,guide,culture_life,https://www.expatcopilot.com/netherlands/living/survival-guide/,2,2,2,0,51,4,4,no,no,2,3,INDEXABLE,P2,>3 clicks from cluster hub (depth_hub=4); outlinks_to_redirects=2; outlinks_to_404=3; descriptive_anchor_ratio=1.00 n=2; hub_relationship=links_to_parent_hub; strongest_contextual_source=/netherlands/culture/meetings-and-consensus/
https://www.expatcopilot.com/netherlands/delft/,city_page,cities,https://www.expatcopilot.com/netherlands/cities/,50,50,50,0,86,2,1,no,no,1,3,INDEXABLE,INFO,outlinks_to_redirects=1; outlinks_to_404=3; descriptive_anchor_ratio=1.00 n=74; hub_relationship=links_to_parent_hub; strongest_contextual_source=/netherlands/taxes/property-tax-netherlands/
https://www.expatcopilot.com/netherlands/digid-awareness/,moving_guide,first_90_days,https://www.expatcopilot.com/netherlands/after-arriving-netherlands/,27,27,27,0,56,1,1,no,no,2,2,INDEXABLE,INFO,outlinks_to_redirects=2; outlinks_to_404=2; descriptive_anchor_ratio=1.00 n=41; hub_relationship=hub_links_to_child; strongest_contextual_source=/netherlands/living/government-portals-overview/
https://www.expatcopilot.com/netherlands/document-legalization-netherlands/,moving_guide,netherlands_other,,56,56,56,0,57,2,,no,no,1,2,INDEXABLE,INFO,outlinks_to_redirects=1; outlinks_to_404=2; descriptive_anchor_ratio=1.00 n=101; hub_relationship=weak_or_missing_hub_link; strongest_contextual_source=/netherlands/apostille-documents-netherlands/
https://www.expatcopilot.com/netherlands/document-readiness-checker/,tool_calculator,visas_immigration,https://www.expatcopilot.com/netherlands/moving/visas-residency/,85,85,85,0,64,2,2,no,no,4,2,INDEXABLE,INFO,outlinks_to_redirects=4; outlinks_to_404=2; descriptive_anchor_ratio=1.00 n=184; hub_relationship=links_to_parent_hub; strongest_contextual_source=/netherlands/moving/tools/arrival-planner/
